product_id,loves_count,rating
P457455,39972,5.0
P501442,29742,5.0
P501510,22360,5.0
P477824,15983,5.0
P500983,12280,5.0
P500697,9864,5.0
P503187,9550,5.0
P500791,9102,5.0
P476496,8257,5.0
P501886,7523,5.0
P503234,7213,5.0
P476673,7154,5.0
P453691,7042,5.0
P390009,6934,5.0
P64581325,6840,5.0
P479460,6653,5.0
P504426,6461,5.0
P503570,6401,5.0
P501561,6342,5.0
P480445,6327,5.0
P501251,6068,5.0
P478046,5477,5.0
P480355,5440,5.0
P504881,5361,5.0
P502083,5274,5.0
P502504,5250,5.0
P469075,5162,5.0
P502819,5013,5.0
P502964,4923,5.0
P504454,4861,5.0
P502255,4666,5.0
P503231,4537,5.0
P418386,4527,5.0
P503574,4486,5.0
P503592,4440,5.0
P482023,4154,5.0
P502515,4151,5.0
P504187,4118,5.0
P500408,4105,5.0
P466883,4077,5.0
P468181,4066,5.0
P504594,4044,5.0
P500863,4026,5.0
P503173,3985,5.0
P480150,3928,5.0
P502481,3899,5.0
P468711,3895,5.0
P504333,3844,5.0
P460446,3812,5.0
P503580,3796,5.0
P479696,3779,5.0
P504898,3710,5.0
P467761,3653,5.0
P502513,3616,5.0
P500733,3614,5.0
P479456,3554,5.0
P503915,3539,5.0
P483694,3539,5.0
P480176,3514,5.0
P501329,3440,5.0
P504692,3432,5.0
P473737,3426,5.0
P477242,3306,5.0
P502005,3207,5.0
P402666,3195,5.0
P463463,3144,5.0
P449144,3039,5.0
P504437,2928,5.0
P501695,2914,5.0
P504430,2864,5.0
P504779,2858,5.0
P503000,2842,5.0
P503247,2841,5.0
P468444,2835,5.0
P433910,2775,5.0
P500880,2772,5.0
P501233,2755,5.0
P503243,2726,5.0
P504281,2720,5.0
P504339,2652,5.0
P474048,2643,5.0
P502840,2640,5.0
P422494,2633,5.0
P473157,2593,5.0
P504873,2567,5.0
P468390,2514,5.0
P503068,2513,5.0
P504846,2461,5.0
P504987,2419,5.0
P505041,2386,5.0
P472339,2367,5.0
P504018,2331,5.0
P483693,2324,5.0
P474049,2317,5.0
P501348,2305,5.0
P504621,2275,5.0
P504994,2267,5.0
P504424,2254,5.0
P464265,2246,5.0
P482263,2241,5.0
P448561,2223,5.0
P481342,2206,5.0
P481971,2201,5.0
P477170,2187,5.0
P483677,2154,5.0
P420536,2153,5.0
P467033,2130,5.0
P477738,2105,5.0
P464219,2043,5.0
P504434,2003,5.0
P448550,2000,5.0
P483707,1998,5.0
P476852,1967,5.0
P502195,1959,5.0
P502337,1936,5.0
P483460,1932,5.0
P423167,1874,5.0
P476685,1863,5.0
P504704,1838,5.0
P505217,1818,5.0
P505032,1780,5.0
P504588,1779,5.0
P501175,1769,5.0
P501985,1761,5.0
P483691,1740,5.0
P472459,1731,5.0
P503552,1715,5.0
P505208,1702,5.0
P503244,1700,5.0
P504063,1693,5.0
P448544,1685,5.0
P483678,1630,5.0
P504207,1617,5.0
P479946,1606,5.0
P483653,1604,5.0
P504816,1550,5.0
P450838,1529,5.0
P501800,1502,5.0
P504428,1475,5.0
P470548,1445,5.0
P505011,1443,5.0
P447134,1436,5.0
P460869,1424,5.0
P502226,1411,5.0
P503564,1398,5.0
P502316,1355,5.0
P502984,1348,5.0
P505122,1333,5.0
P501753,1328,5.0
P504464,1314,5.0
P504687,1310,5.0
P475989,1301,5.0
P505332,1294,5.0
P500164,1291,5.0
P502276,1279,5.0
P455584,1271,5.0
P501718,1252,5.0
P500155,1243,5.0
P504857,1235,5.0
P502256,1216,5.0
P503553,1202,5.0
P501297,1191,5.0
P503335,1189,5.0
P504599,1177,5.0
P467035,1170,5.0
P476657,1149,5.0
P469801,1149,5.0
P502068,1142,5.0
P481397,1140,5.0
P504221,1085,5.0
P455856,1077,5.0
P503576,1060,5.0
P504688,1056,5.0
P501779,1052,5.0
P504417,1039,5.0
P502427,1024,5.0
P503560,1011,5.0
P501507,1006,5.0
P503157,997,5.0
P504053,993,5.0
P505355,987,5.0
P500998,986,5.0
P500256,983,5.0
P505372,963,5.0
P483479,958,5.0
P504882,921,5.0
P503677,918,5.0
P502818,918,5.0
P477706,906,5.0
P483630,902,5.0
P419419,885,5.0
P476686,876,5.0
P504172,868,5.0
P500409,854,5.0
P501696,836,5.0
P470538,820,5.0
P504703,816,5.0
P501754,814,5.0
P501728,806,5.0
P468155,805,5.0
P501432,799,5.0
P504080,782,5.0
P505120,782,5.0
P504519,772,5.0
P502347,767,5.0
P501687,762,5.0
P503245,735,5.0
P502260,733,5.0
P503877,689,5.0
P502282,674,5.0
P501723,673,5.0
P478260,673,5.0
P502268,659,5.0
P478270,655,5.0
P501715,647,5.0
P482706,645,5.0
P502647,644,5.0
P504436,641,5.0
P504457,629,5.0
P501699,627,5.0
